Title,Price,Location,Bedrooms,Baths,Area
Modern Architecture 5 Marla House For Sale In DHA 9 Town,315.0,"DHA 9 Town - Block A, DHA 9 Town",3,4,5 Marla
* 5 Marla Full Furnished Dream House With Premium Finishing For Sale in DHA 9 Town,285.0,"DHA 9 Town, DHA Defence",3,4,5 Marla
Ready To Buy A House 1013 Square Feet In Marghzar Officers Colony,215.0,"Marghzar Officers Colony, Lahore",4,4,4.5 Marla
BRAND BEW 5 MARLA HOUSE FOR SALE DHA 9 TOWN,350.0,"DHA 9 Town, DHA Defence",3,4,5 Marla
5 Marla Brand New House Available For Sale In Lake City,330.0,"Lake City, Raiwind Road",4,4,5 Marla
1 Kanal Brand New House Avaliable For Sale In Lake City,1290.0,"Lake City, Raiwind Road",7,7,1 Kanal
Ultra Luxury Design 11 Marla Brand New Fully Furnished Villa For Sale In Near Defence Raya Fair Ways,479.0,"DHA Phase 7, DHA Defence",4,5,11 Marla
1 Kanal House For Sale In Chinar Bagh Chinar Bagh,650.0,"Chinar Bagh, Lahore",5,6,1 Kanal
Own A Prime Location House In 5 Marla Lahore,180.0,"Low Cost - Block F, Low Cost Sector",3,4,5 Marla
2 Bed Town Houses Jubilee Town Lahore On Easy Installment,65.0,"Jubilee Town, Lahore",2,2,5 Marla
2 Bed Apartment for Sale in Gulberg near MM ALAM Road Lahore,467.0,"Gulberg, Lahore",2,3,6.1 Marla
2 Bedroom Luxury Apartment For Sale In Gulberg Lahore,310.0,"Gulberg, Lahore",2,2,4.5 Marla
1 KANAL ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW WITH BASEMENT IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE,1175.0,"DHA Phase 7, DHA Defence",5,6,1 Kanal
5 MARLA ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE.,229.99999999999997,"DHA 9 Town - Block A, DHA 9 Town",3,4,5 Marla
10 Marla Like Brand New With Basement 10 KV Solar System With A. C Luxury Ultra Modern Designed Bungalow for Sale At Prime Location In DHA Phase 7 Near By Park And McDonald   Original Pictures Are Attached,638.0,"DHA Phase 7, DHA Defence",5,6,10 Marla
OWNER BUILD NEW HOUSE FOR SALE /TIP PH2 LOW PRICE HOUSE FOR SALE/ LAHORE PROPERTY FOR SALE,459.99999999999994,"TIP Housing Society - Phase 2, TIP Housing Society",6,7,18 Marla
10 Marla 3 Bed New Design Flat For Sale In Askari 11 Lahore,350.0,"Askari 11 - Sector B Apartments, Askari 11",3,4,10 Marla
10 Marla 3 Bed Flat For Sale In Askari 11 Lahore.,300.0,"Askari 11 - Sector B, Askari 11",3,3,10 Marla
1 Kanal Slightly Used Bungalow with Basement Central Location,869.0,"DHA Phase 5 - Block K, DHA Phase 5",5,6,1 Kanal
5 Marla Brand New Double Hight Lobby Luxury Residence Available For Sale in DHA 9 Town Near Park 100% Original Pics,370.0,"DHA 9 Town - Block B, DHA 9 Town",3,4,5 Marla
5 Marla Stylish Designer House In DHA For Sale in DHA 9 Town,330.0,"DHA 9 Town - Block B, DHA 9 Town",3,4,5 Marla
Lavish 5 Marla House With Modern Interior For Sale,270.0,"DHA 9 Town - Block D, DHA 9 Town",3,4,5 Marla
Lavish 5 Marla House With Modern Interior For Sale in DHA 9 Town,299.0,"DHA 9 Town - Block C, DHA 9 Town",3,4,5 Marla
* 5 Marla Dream House With Premium Finishing For Sale in DHA 9 Town,320.0,"DHA 9 Town - Block A, DHA 9 Town",3,4,5 Marla
* 5 Marla Full Furnished Dream House With Premium Finishing For Sale in DHA 9 Town Hot Location,295.0,"DHA 9 Town - Block A, DHA 9 Town",3,4,5 Marla
5 Marla Designer House Available At Reasonable Price,289.0,"DHA 9 Town - Block B, DHA 9 Town",3,4,5 Marla
Affordable 5 Marla Dream House With Premium Finishings,254.99999999999997,"DHA 9 Town - Block D, DHA 9 Town",3,4,5 Marla
12-Marla 4-Bedroom's Brand New *H Shape* Tile Flooring (Apartment | Flat) For Sale | Askari 10 Lahore Cantt | @nusratestate,465.00000000000006,"Askari 10 - Sector S, Askari 10",4,5,12 Marla
Facing Park 10-Marla 3-Bedroom'S Flat Tile Flooring ( Apartment | Flat ) For Sale | Askari 11 DHA Lahore | @Nusrat Estate,385.0,"Askari 11 - Sector D, Askari 11",3,3,10 Marla
DESIRE HOMES OFFERS KANAL ELEGANT BUNGALOW FOR SALE,925.0,"DHA Phase 6, DHA Defence",5,6,1 Kanal
2 Kanal Ultra-Luxury Designer House For Sale In DHA Phase 2 Lahore Architect Asad Afzal Fully Furnished,2900.0,"DHA Phase 2, DHA Defence",6,6,2 Kanal
DESIRE HOMES OFFERS 02 KANAL STATE OF THE ART BUNGALOW FOR SALE IN HEART OF DHA,2800.0,"DHA Phase 6, DHA Defence",5,6,2 Kanal
6 Marla House For Sale In Paragon City Lahore,225.0,"Paragon City, Lahore",3,4,6 Marla
3 Marla House Is Available For Sale In Formanities Housing Scheme Block Y Lahore,135.0,"Formanities Housing Scheme - Block Y, Formanites Housing Scheme",3,3,3 Marla
Brand New Double Storey 10 Marla House Available In DHA Phase 5 - Block K For Sale,850.0,"DHA Phase 5 - Block K, DHA Phase 5",4,5,10 Marla
4 Marla House Is Available For Sale In Al-Noor Park Housing Society Lahore,85.0,"Al Noor Park Housing Society, Lahore",3,3,4 Marla
1 Kanal Brand New Specious Ultra Modern Design Bungalow For Sale In DHA Phase 7 Top Location Near To McDonald's Near To Park,690.0,"DHA Phase 7, DHA Defence",5,7,1 Kanal
5 MARLA ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE.,250.0,"DHA 9 Town - Block A, DHA 9 Town",3,4,5 Marla
5 MARLA ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE.,260.0,"DHA 9 Town - Block D, DHA 9 Town",4,4,5 Marla
1 kanal Used Bungalow at Prime Location,575.0,"DHA Phase 1, DHA Defence",4,5,1 Kanal
Luxury Redefined Brand New Ultra Modern 10 Marla Designer House In DHA Phase 8 Air Avenue Lahore,475.0,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",4,5,10 Marla
8 Marla Modern House for Sale DHA Rahbar Sector 1,360.0,"DHA 11 Rahbar, Lahore",4,5,8 Marla
"Fully Furnished Apartment on MM Alam Road, Lahore Cheapest Deal in Prime Location!",145.0,"Gulberg 3, Gulberg",1,1,2.4 Marla
Brand New 5 Marla Designer Villa Near Park & Boulevard Easy Approach Through Main Road 5 Minute Drive From Dolmen Mall,250.0,"DHA 9 Town - Block C, DHA 9 Town",3,5,5 Marla
Prime Location 5 Marla House For Sale DHA 9 Town Lahore,319.0,"DHA 9 Town - Block A, DHA 9 Town",3,4,5 Marla
DHA Phase 7 | 10 Marla Ultra Luxury Top Notch Modern House | Big Lawn & Beautiful Rooftop | 100% Original Deal,575.0,"DHA Phase 7, DHA Defence",4,5,10 Marla
"Reasonably-Priced 20 Marla House In DHA Phase 7, Lahore Is Available As Of Now",749.0,"DHA Phase 7, DHA Defence",5,6,1 Kanal
10 Marla BRAND NEW ULTRA MODERN DESIGNED BUNGALOW WITH BASEMENT FOR SALE TOP LOCATION IN DHA PHASE 7,415.00000000000006,"DHA Phase 7, DHA Defence",4,5,10 Marla
10 Marla Top Quality Build Luxurious Beautiful Ultra Modern Design Villa For Sale In DHA Lahore Phase 7 Prime Location,575.0,"DHA Phase 7, DHA Defence",4,5,10 Marla
Top Notch Ultra Luxury 1 Kanal Brand New Bungalow | Near Raya Fairways | DHA Phase 7,775.0,"DHA Phase 7 - Block W, DHA Phase 7",5,6,1 Kanal
Elegant 10 Marla Designer Home With Prime Location DHA Phase 7,599.0,"DHA Phase 7 - Block Y, DHA Phase 7",4,5,10 Marla
10 Marla Top Quality Build Luxurious Beautiful Modern Design Villa For Sale In DHA Lahore Phase 7 Prime Location,519.0,"DHA Phase 7 - Block Y, DHA Phase 7",4,5,10 Marla
10 -Marla Affordable House Available For Sale In Bahria Town sector F,310.0,"Bahria Town - Sector F, Bahria Town",5,6,10 Marla
DESIRE HOMES OFFERS KANAL ELEGANTLY DESIGNED WING CHAIR FURNISHED HOUSE FOR SALE IN HEART OF DHA PHASE 7,747.0,"DHA Phase 7, DHA Defence",5,6,1 Kanal
BANKERS AVENUE 9 MARLA BRAND NEW HOUSE FOR SALE,350.0,"Bankers Avenue Cooperative Housing Society, Lahore",4,5,9 Marla
10-Marla 3-Bedroom's Tile Flooring (Apartment | Flat) For Sale | Askari 10 Lahore Cantt | @nusratestate,380.0,"Askari 10 - Sector S, Askari 10",3,3,10 Marla
10 MARLA BRAND NEW HOUSE FOR SALE,385.0,"Jubilee Town, Lahore",6,7,10 Marla
End Your Search For Corner House Here And Sale Now,170.0,"Al-Kabir Town - Phase 2, Al-Kabir Town",3,3,3 Marla
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,165.0,"Park View City, Lahore",4,5,5 Marla
3 Years Installment Plan Luxury 1.5 Storey 5 Marla Brand New House In Park View City Lahore,145.0,"Park View City, Lahore",3,2,5 Marla
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,160.0,"Park View City, Lahore",4,5,5 Marla
5 Marla House For Sale In Paragon City Lahore,260.0,"Paragon City, Lahore",3,4,5 Marla
05 MARLA ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE.,299.0,"DHA 9 Town - Block A, DHA 9 Town",3,4,5 Marla
ON MAIN 70-FEET ROAD 8 MARLA WITH BASEMENT ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE.,409.99999999999994,"DHA 9 Town - Block D, DHA 9 Town",4,5,8 Marla
Luxury Modern Line House 1 Kanal House + 1 Kanal Lush Green Lawn Near DHA RAYA,1450.0,"DHA Phase 6, DHA Defence",6,7,2 Kanal
MAIN 100 FIT ROAD 2 KANAL MODERN HOUSE WITH SWIMMING POOL,2800.0,"DHA Phase 6, DHA Defence",6,6,2 Kanal
Avail Yourself A Great 20 Marla House In DHA Phase 6 -,925.0,"DHA Phase 6 - Block J, DHA Phase 6",5,6,1 Kanal
HALL IN BASEMENT + 4 BED + 45FT ROAD NEAR PARK .,425.0,"DHA Phase 7 - Block Y, DHA Phase 7",4,7,10 Marla
10 Marla Ultra Luxury Full Basement Bungalow For Sale Elegant Living & Premium Location,465.00000000000006,"DHA Phase 6, DHA Defence",4,5,10 Marla
1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa For Sale In DHA Lahore Phase 7 Prime Location,689.0,"DHA Phase 7, DHA Defence",5,6,1 Kanal
Beautifully Designed 5 Marla House Featuring Modern Architecture & Spacious Living in DHA 9 Town,319.0,"DHA 9 Town, DHA Defence",3,4,5 Marla
